Time(s),True Position X(m),True Position Y(m),True Position Z(m),TRUKF Estimated Position X(m),TRUKF Estimated Position Y(m),TRUKF Estimated Position Z(m)
5.613999999999999773e+02,3.186509425201381518e+01,-1.099256284628785529e+01,-2.332179869516183057e+00,3.207380885872112231e+01,-1.312321965158196413e+01,-2.432310306817658585e+00
5.615000000000000000e+02,3.186509425201381518e+01,-1.096256284628785593e+01,-2.321522409349725091e+00,3.207401653298195043e+01,-1.312217277346744204e+01,-2.452310022045034898e+00
5.616000000000000227e+02,3.186509425201381518e+01,-1.093256284628785657e+01,-2.310978869674047864e+00,3.207414952549520848e+01,-1.312146971531153028e+01,-2.472309894050180201e+00
5.617000000000000455e+02,3.186509425201381518e+01,-1.090256284628785721e+01,-2.300552601591997259e+00,3.207423367283890769e+01,-1.312100060021229986e+01,-2.492309837262661532e+00
5.618000000000000682e+02,3.186509425201381518e+01,-1.087256284628785785e+01,-2.290246233188048208e+00,3.207428659831953155e+01,-1.312068803444521770e+01,-2.512309812138029841e+00
5.618999999999999773e+02,3.186509425201381518e+01,-1.084256284628785849e+01,-2.280061653325288873e+00,3.207432082388896788e+01,-1.312048155199127741e+01,-2.532309801186428455e+00
5.620000000000000000e+02,3.186509425201381518e+01,-1.081256284628785913e+01,-2.269999999999951612e+00,3.186599501861037353e+01,-1.307618940960815479e+01,-2.230738273036045882e+00
5.621000000000000227e+02,3.186509425201381518e+01,-1.078256284628785977e+01,-2.260061653325289299e+00,3.186613053854226152e+01,-1.307126095978534863e+01,-2.263846672008187344e+00
5.622000000000000455e+02,3.186509425201381518e+01,-1.075256284628786041e+01,-2.250246233188049505e+00,3.186622147966205887e+01,-1.306795777374552614e+01,-2.283843941994787574e+00
5.623000000000000682e+02,3.186509425201381518e+01,-1.072256284628786105e+01,-2.240552601591998982e+00,3.186628262137738687e+01,-1.306574366396171349e+01,-2.303842715452066425e+00
5.623999999999999773e+02,3.186509425201381518e+01,-1.069256284628786169e+01,-2.230978869674049125e+00,3.186632164758181673e+01,-1.306426140708960304e+01,-2.323842165792393555e+00
5.625000000000000000e+02,3.186509425201381518e+01,-1.066256284628786233e+01,-2.221522409349726779e+00,3.186634483546608010e+01,-1.306327406176464123e+01,-2.343841921943789597e+00
5.626000000000000227e+02,3.186509425201381518e+01,-1.063256284628786297e+01,-2.212179869516185615e+00,3.186635620258008572e+01,-1.306261857020125561e+01,-2.363841814493900628e+00
5.627000000000000455e+02,3.186509425201381518e+01,-1.060256284628786361e+01,-2.202947196712871314e+00,3.186635734261309949e+01,-1.306218743475690580e+01,-2.383841768024078878e+00
5.628000000000000682e+02,3.186509425201381518e+01,-1.057256284628786425e+01,-2.193819660112454883e+00,3.186635106528988715e+01,-1.306190222587864191e+01,-2.403841747678191254e+00
5.628999999999999773e+02,3.186509425201381518e+01,-1.054256284628786489e+01,-2.184791880687952936e+00,3.186634049289594728e+01,-1.306171686231507856e+01,-2.423841739060333289e+00
5.630000000000000000e+02,3.186509425201381518e+01,-1.051256284628786553e+01,-2.175857864376222750e+00,3.170295848384014903e+01,-1.297047727876070766e+01,-2.169804227685759201e+00
5.631000000000000227e+02,3.186509425201381518e+01,-1.048256284628786617e+01,-2.167011039033349906e+00,3.170378936974710271e+01,-1.296488125938931191e+01,-2.173016107126636509e+00
